Warehouse_ID,Location,Current_Stock,Demand_Forecast,Lead_Time_Days,Shipping_Time_Days,Stockout_Risk,Operational_Cost,Supplier_ID,Product_Category,Monthly_Sales,Order_Processing_Time,Return_Rate,Customer_Rating,Warehouse_Capacity,Storage_Cost,Transportation_Cost,Backorder_Quantity,Damaged_Goods,Employee_Count,total_time,sales_per_employee,processing_per_unit,demand_gap,inventory_status,warehouse_utilization,utilization_category,inventory_turnover,turnover_category,damage_rate,forecast_error,forecast_category,accuracy,accuracy_category,demand_sales_zone,total_cost,Monthly_Revenue,profit_margin,estimated_profit,risk_score,salary_cost,salary_per_employee,revenue_per_employee,stock_per_employee,required_emp_sales,required_emp_stock,ideal_employee_count
WH239,Dallas,3926,484,8,3,7,93895,S693,Groceries,4893,4.766230718764152,6.053951997842127,3.840976300612479,28701,16975,2778,228,26,83,7.766230718764152,58.95180722891566,0.0009740917062669431,-4409,Overstock,0.13678965889690256,Low,1.2463066734589914,Healthy,0.006622516556291391,-4409,Under-Forecast,10.109504132231406,Highly Overperforming,Low Demand Zone,19753,244650,0.9330101626016261,224897,4.618172354319526,74142,893.277108433735,2947.590361445783,47.30120481927711,48.148339757940526,77.1624621643993,63.0
WH244,Houston,3032,5122,3,6,25,46847,S880,Electronics,4453,4.3043353239038735,3.8869957959395016,2.113928974421545,36198,14052,1535,288,16,39,10.304335323903874,114.17948717948718,0.0009666147145528573,669,Shortage,0.08376153378639704,Very Low,1.4686675461741425,Healthy,0.005277044854881266,669,Overestimate (Unmet Demand),0.8693869582194456,Underperforming,Unmet Demand Zone,15587,222650,0.929993262968785,207063,11.167681852238314,31260,801.5384615384615,5708.974358974359,77.74358974358974,43.81863007196182,59.59159074948005,52.0
WH340,Chicago,4763,4343,5,5,16,64176,S116,Furniture,5956,1.030779123572021,7.335160144687795,4.211437108477245,22784,9863,13435,153,3,49,6.030779123572021,121.55102040816327,0.00017306566883344877,-1613,Overstock,0.2090502106741573,Low,1.2504723913499896,Healthy,0.0006298551333193366,-1613,Under-Forecast,1.3714022565047201,Overperforming,Future Demand Zone,23298,297800,0.9480270916334661,274502,8.600736999946333,40878,834.2448979591836,6077.551020408163,97.20408163265306,58.60852474929364,93.61304311997806,76.0
WH428,Atlanta,2219,777,7,6,15,38940,S431,Apparel,5814,2.871244047490718,1.393481491074176,1.75167148929249,13172,15911,14508,143,39,35,8.871244047490718,166.11428571428573,0.0004938500253682006,-5037,Overstock,0.16846340722745218,Low,2.6200991437584498,Fast Moving,0.01757548445245606,-5037,Under-Forecast,7.482625482625482,Highly Overperforming,Under-Forecast Zone,30419,290700,0.8642584242026727,260281,6.42331709265799,8521,243.45714285714286,8305.714285714286,63.4,57.21120935063688,43.61271103993939,50.0
WH202,Dallas,809,4756,2,7,16,33933,S821,Electronics,2279,4.060930355752779,4.212666134979816,4.231919058684772,39619,19011,1904,296,30,67,11.06093035575278,34.014925373134325,0.0017818913364426412,2477,Shortage,0.02041949569650925,Very Low,2.8170580964153276,Fast Moving,0.037082818294190356,2477,Overestimate (Unmet Demand),0.4791841883936081,Underperforming,Unmet Demand Zone,20915,113950,0.8566692456479691,93035,7.6749246859822025,13018,194.29850746268656,1700.7462686567164,12.074626865671641,22.42592812351246,15.900262835200976,19.0
WH211,San Francisco,3840,666,9,1,19,30165,S459,Automotive,1326,0.6600062771781208,2.4114358026966034,1.1109878521328849,32490,9766,807,181,17,20,1.6600062771781208,66.3,0.0004977422904812374,-660,Overstock,0.11819021237303785,Low,0.3453125,Dead Stock,0.004427083333333333,-660,Under-Forecast,1.990990990990991,Overperforming,Low Demand Zone,10573,66300,0.9458658959537573,55727,8.324758865808983,19592,979.6,3315.0,192.0,13.048170553654025,75.4721993660961,44.0
WH008,Atlanta,4757,4776,7,7,12,38284,S655,Apparel,6186,3.0847965356528952,4.195065786911762,1.0104315934628012,19414,6995,8901,237,25,94,10.084796535652895,65.80851063829788,0.0004986738660932582,-1410,Shortage,0.24502936025548575,Low,1.3003994113937356,Healthy,0.0052554130754677315,-1410,Under-Forecast,1.2952261306532664,Overperforming,Future Demand Zone,15896,309300,0.948606530876172,293404,6.06009635999617,22388,238.17021276595744,3290.425531914894,50.6063829787234,60.87178208514615,93.49511780846854,77.0
WH438,Atlanta,4803,2432,9,5,20,45299,S845,Electronics,5539,2.433819850658695,6.010138788250456,2.4498315534415,42401,17954,13519,172,9,91,7.433819850658695,60.86813186813187,0.00043939697610736507,-3107,Overstock,0.1132756302917384,Low,1.153237559858422,Healthy,0.0018738288569643974,-3107,Under-Forecast,2.2775493421052633,Highly Overperforming,Under-Forecast Zone,31473,276950,0.9204377504080724,245477,9.803603785132225,13826,151.93406593406593,3043.4065934065934,52.78021978021978,54.505140796900186,94.39921186337489,74.0
WH106,New York,1401,2940,10,6,22,36265,S456,Apparel,1822,1.2916557112728806,3.147317563356474,4.739126956890537,18053,17284,773,205,17,78,7.291655711272881,23.358974358974358,0.0007089219051991661,1118,Shortage,0.07760483022212375,Very Low,1.3004996431120628,Healthy,0.012134189864382585,1118,Overestimate (Unmet Demand),0.6197278911564625,Underperforming,Low Demand Zone,18057,91100,0.9389687892991883,73043,9.747835525966257,18208,233.43589743589743,1167.948717948718,17.96153846153846,17.92893419966639,27.535560237474126,23.0
WH099,New York,4213,3732,5,7,20,57333,S569,Electronics,4608,3.099240002721201,3.218993567473094,2.698892569190911,31286,5653,7017,97,44,58,10.099240002721201,79.44827586206897,0.0006725781255905385,-876,Overstock,0.13466087067698013,Low,1.0937574175172087,Healthy,0.010443864229765013,-876,Under-Forecast,1.234726688102894,Overperforming,Unmet Demand Zone,12670,230400,0.9513029650148763,217730,8.968831229510856,44663,770.051724137931,3972.4137931034484,72.63793103448276,45.34386871134068,82.80322289827158,64.0
